f,S11,S12,S21,S22
5200000.948,(0.02601099970074052+0.08880154439962148j),(0.01853692243206341+0.054022769930901854j),(0.018536922432063403+0.05402276993090183j),(0.02590220782756917+0.08874138773304133j)
5250000.9475,(0.026480485576213804+0.08954239855314255j),(0.01885957229806364+0.05445081248673792j),(0.018859572298063655+0.054450812486737936j),(0.02637089813588265+0.08948261602012907j)
5300000.947,(0.02695350316678844+0.09028030195104712j),(0.019184424268703922+0.05487653686465235j),(0.019184424268703894+0.054876536864652305j),(0.02684312481333081+0.09022090237558665j)
5350000.9465,(0.027430029553838733+0.0910152366483961j),(0.01951145834884163+0.05529993082167008j),(0.019511458348841684+0.055299930821670194j),(0.02731886499422384+0.09095622876676888j)
5400000.9459999995,(0.027910041722785852+0.09174718491998414j),(0.019840654469264835+0.055720982319963634j),(0.019840654469264796+0.05572098231996355j),(0.027798095716413885+0.09168857738119571j)
5450000.945499999,(0.028393516565776742+0.09247612926076905j),(0.020171992489378513+0.05613967952722039j),(0.020171992489378492+0.05613967952722037j),(0.028280793923952417+0.09241793062696495j)
5500000.944999999,(0.028880430884339017+0.09320205238626353j),(0.020505452199879058+0.05655601081697097j),(0.02050545219987907+0.056556010816971j),(0.02876693646975606+0.09314427113311852j)
5550000.9445,(0.02937076139204899+0.09392493723288306j),(0.020841013325415533+0.056969964768875545j),(0.0208410133254156+0.05696996476887568j),(0.029256500118237203+0.0938675817499807j)
5600000.944,(0.029864484717162184+0.09464476695826378j),(0.021178655527238615+0.057381530168971746j),(0.02117865552723857+0.05738153016897164j),(0.02974946154795678+0.09458784554944899j)
5650000.9435,(0.03036157740525953+0.09536152494153238j),(0.021518358405835915+0.05779069600988183j),(0.0215183584058359+0.0577906960098818j),(0.030245797354243015+0.09530504582525523j)
5700000.943,(0.03086201592187609+0.09607519478354404j),(0.021860101503555114+0.05819745149098311j),(0.021860101503555034+0.05819745149098294j),(0.030745484051809647+0.09601916609318804j)
5750000.9425,(0.03136577665510235+0.09678576030708537j),(0.02220386430721269+0.05860178601853822j),(0.022203864307212696+0.058601786018538216j),(0.031248498077371126+0.09673019009127669j)
5800000.942,(0.031872835918209365+0.09749320555703261j),(0.022549626250690034+0.05900368920578937j),(0.022549626250690062+0.059003689205789404j),(0.03175481579222889+0.09743810177994433j)
5850000.9415,(0.032383169952222846+0.09819751480048326j),(0.022897366717514876+0.05940315087301409j),(0.02289736671751493+0.05940315087301419j),(0.032264413484875826+0.09814288534211678j)
5900000.941,(0.03289675492852212+0.09889867252684297j),(0.02324706504342942+0.05980016104754517j),(0.023247065043429407+0.059800161047545146j),(0.03277726737355479+0.09884452518330873j)
5950000.9405,(0.03341356695140438+0.09959666344788318j),(0.023598700518943697+0.06019470996375378j),(0.023598700518943704+0.060194709963753784j),(0.033293353608834404+0.09954300593166403j)
6000000.9399999995,(0.03393358206063743+0.10029147249776287j),(0.02395225239187504+0.0605867880629979j),(0.023952252391875036+0.06058678806299788j),(0.03381264827615966+0.10023831243796809j)
6050000.939499999,(0.03445677623402031+0.10098308483301113j),(0.02430769986987218+0.06097638599353435j),(0.02430769986987209+0.06097638599353415j),(0.034335127398391965+0.1009304297756244j)
6100000.938999999,(0.03498312538991014+0.10167148583248126j),(0.02466502212292467+0.06136349461039642j),(0.024665022122924624+0.06136349461039633j),(0.034860766938339685+0.10161934324059758j)
6150000.9385,(0.035512605389738425+0.10235666109726932j),(0.02502419828585742+0.061748104975238124j),(0.025024198285857436+0.06174810497523814j),(0.03538954280127466+0.10230503835132371j)
6200000.938,(0.03604519204052438+0.10303859645059898j),(0.02538520746080928+0.06213020835614351j),(0.02538520746080928+0.06213020835614349j),(0.03592143083742956+0.10298750084858954j)
6250000.9375,(0.036580861097368224+0.10371727793767248j),(0.025748028719696017+0.06250979622740294j),(0.02574802871969596+0.06250979622740281j),(0.03645640684449621+0.10366671669537449j)
6300000.937,(0.037119588265934395+0.10439269182548998j),(0.026112641106657453+0.06288686026925668j),(0.026112641106657463+0.06288686026925668j),(0.03699444657009274+0.1043426720766678j)
6350000.9365,(0.03766134920490938+0.1050648246026396j),(0.0264790236404886+0.06326139236760654j),(0.026479023640488614+0.06326139236760657j),(0.037535525714238044+0.10501535339924613j)
6400000.936,(0.03820611952845495+0.1057336629790525j),(0.026847155317053905+0.06363338461369465j),(0.02684715531705397+0.06363338461369472j),(0.0380796199317774+0.10568474729143106j)
6450000.9355,(0.03875387480865306+0.10639919388572627j),(0.027217015111685044+0.06400282930375105j),(0.027217015111684978+0.06400282930375095j),(0.038626704834842825+0.10635084060280156j)
6500000.935,(0.039304590577915736+0.10706140447442096j),(0.02758858198156161+0.06436971893861065j),(0.027588581981561604+0.06436971893861063j),(0.03917675599524287+0.10701362040389185j)
6550000.9344999995,(0.03985824233139336+0.10772028211732361j),(0.027961834868075103+0.06473404622329958j),(0.02796183486807503+0.06473404622329942j),(0.03972974894688441+0.10767307398584577j)
6600000.933999999,(0.04041480552937034+0.10837581440667961j),(0.028336752699174447+0.06509580406659038j),(0.028336752699174437+0.06509580406659037j),(0.04028565918815642+0.1083291888600483j)
6650000.933499999,(0.04097425559962662+0.1090279891544015j),(0.028713314391695176+0.06545498558052935j),(0.028713314391695246+0.06545498558052948j),(0.040844462184292836+0.10898195275773055j)
6700000.933,(0.04153656793980743+0.10967679439164021j),(0.029091498853669663+0.06581158407993329j),(0.029091498853669618+0.0658115840799332j),(0.041406133369729495+0.1096313536295406j)
6750000.9325,(0.04210171791975276+0.11032221836833644j),(0.02947128498661925+0.06616559308185732j),(0.02947128498661918+0.06616559308185718j),(0.041970648150449645+0.11027737964508685j)
6800000.932,(0.04266968088382413+0.11096424955273693j),(0.029852651687828833+0.0665170063050358j),(0.029852651687828816+0.06651700630503575j),(0.04253798190629138+0.1109200191924589j)
6850000.9315,(0.04324043215322285+0.11160287663088328j),(0.030235577852601794+0.06686581766929403j),(0.030235577852601715+0.06686581766929385j),(0.04310810999327197+0.11155926087771151j)
6900000.931,(0.043813947028248264+0.11223808850608455j),(0.03062004237649688+0.06721202129493316j),(0.030620042376496882+0.06721202129493314j),(0.04368100774584948+0.11219509352433397j)
6950000.9305,(0.04439020079060374+0.11286987429834322j),(0.03100602415754554+0.06755561150208816j),(0.03100602415754554+0.06755561150208818j),(0.04425665047921373+0.11282750617268002j)
7000000.93,(0.04496916870562181+0.11349822334377495j),(0.03139350209845022+0.06789658281005902j),(0.031393502098450224+0.06789658281005899j),(0.044835013491524515+0.11345648807938176j)
7050000.9295,(0.0455508260245142+0.11412312519398687j),(0.031782455108762965+0.06823492993661567j),(0.03178245510876298+0.06823492993661572j),(0.045416072066152044+0.11408202871673034j)
7100000.929,(0.04613514798658045+0.11474456961544077j),(0.03217286210704477+0.06857064779727845j),(0.0321728621070448+0.06857064779727849j),(0.04599980147388307+0.11470411777203914j)
7150000.928499999,(0.046722109821407426+0.11536254658878418j),(0.03256470202300442+0.06890373150457164j),(0.03256470202300441+0.06890373150457164j),(0.0465861769751267+0.1153227451469731j)
7200000.927999999,(0.04731168675104728+0.11597704630816j),(0.03295795379961754+0.06923417636725376j),(0.032957953799617454+0.06923417636725361j),(0.04717517382208852+0.115937900956859j)
7250000.927499999,(0.0479038539921752+0.11658805918049212j),(0.03335259639522555+0.0695619778895226j),(0.03335259639522548+0.06956197788952247j),(0.047766767260924214+0.11654957552997354j)
7300000.927,(0.04849858675822972+0.11719557582474624j),(0.033748608785613976+0.06988713177019733j),(0.03374860878561403+0.06988713177019741j),(0.04836093253388284+0.11715775940680163j)
